api_number,well_name,latitude,longitude,orig_operator,current_operator,elevation,elev_ref,total_depth,formation_at_td,producing_form,permit_issued,spud_date,comp_date,status
15-107-25380,OAKWOOD UNIT/BALL 6I,38.1509364,-95.0422314,"RJ Energy, LLC","RJ Energy, LLC",986, KB,808,BURGESS,BURGESS,10-Dec-21,10-Jan-22,11-Jan-22,EOR
15-107-25379,OAKWOOD UNIT/BALL 5I,38.1499368,-95.0433335,"RJ Energy, LLC","RJ Energy, LLC",996, KB,824,BURGESS,BURGESS,10-Dec-21,11-Jan-22,12-Jan-22,EOR
15-135-26119,MISHLER-MASLO UNIT 1,38.5889609,-100.0837775,"Palomino Petroleum, Inc.","Palomino Petroleum, Inc.",2477, KB,4549,MISSISSIPPIAN,MISSISSIPPIAN,1-Sep-21,7-Jan-22,15-Jan-22,D&A
15-051-27021,WARREN 44563,39.0342041,-99.5051543,Mustang Energy Corporation,Mustang Energy Corporation,2122, KB,3820,ARBUCKLE,ARBUCKLE,13-Jan-22,26-Jan-22,2-Feb-22,D&A
15-189-20524-0002,N J MADDEN 1,37.2245027,-101.2884531,Scout Energy Management LLC,Scout Energy Management LLC,3116, KB,3120,,,,25-Jan-22,27-Jan-22,GAS
15-075-20908,HODGSON 44578,37.8815576,-101.7385771,Plateau Operating Corporation,Plateau Operating Corporation,3450, KB,2658,CHASE,MORROW,1-Oct-21,31-Jan-22,6-Feb-22,GAS
15-055-22544,WALKER UNIT 44771,38.0277946,-100.8593451,BEREXCO LLC,BEREXCO LLC,2851, KB,4950,MORROW,,2-Dec-21,4-Jan-22,26-Feb-22,OIL
15-107-25376,OAKWOOD UNIT/BALL 7I,38.152554,-95.0442305,"RJ Energy, LLC","RJ Energy, LLC",1071, KB,830,BURGESS,BURGESS,7-Dec-21,27-Jan-22,28-Jan-22,EOR
15-051-25326-0001,WIELAND UNIT 44581,38.9585382,-99.0426801,Citation Oil & Gas Corp.,Citation Oil & Gas Corp.,1857, KB,3339,,,,12-Jan-22,13-Jan-22,EOR
15-039-21276,HEILMAN TRUST 44591,39.7614453,-100.2859614,Cobalt Energy LLC,Cobalt Energy LLC,2594, KB,3828,MARMATON,,8-Dec-21,21-Jan-22,28-Jan-22,D&A
